Time,Input_I,LIF_V,Izh_V,LIF_Spike,Izh_Spike
77.9000,20.0000,-59.7250,-69.5431,0,0
78.0000,20.0000,-59.0305,-69.4811,0,0
78.1000,20.0000,-58.3499,-69.4187,0,0
78.2000,20.0000,-57.6829,-69.3560,0,0
78.3000,20.0000,-57.0292,-69.2930,0,0
78.4000,20.0000,-56.3887,-69.2297,0,0
78.5000,20.0000,-55.7609,-69.1660,0,0
78.6000,20.0000,-55.1457,-69.1020,0,0
78.7000,20.0000,-54.5428,-69.0376,0,0
78.8000,20.0000,-53.9519,-68.9729,0,0
78.9000,20.0000,-53.3729,-68.9078,0,0
79.0000,20.0000,-52.8054,-68.8424,0,0
79.1000,20.0000,-52.2493,-68.7766,0,0
79.2000,20.0000,-51.7043,-68.7104,0,0
79.3000,20.0000,-51.1702,-68.6438,0,0
79.4000,20.0000,-50.6468,-68.5769,0,0
79.5000,20.0000,-50.1339,-68.5096,0,0
79.6000,20.0000,30.0000,-68.4418,1,0
79.7000,20.0000,-64.2000,-68.3737,0,0
79.8000,20.0000,-63.4160,-68.3051,0,0
79.9000,20.0000,-62.6477,-68.2362,0,0
80.0000,20.0000,-61.8947,-68.1668,0,0
80.1000,20.0000,-61.1568,-68.0969,0,0
80.2000,20.0000,-60.4337,-68.0266,0,0
80.3000,20.0000,-59.7250,-67.9559,0,0
80.4000,20.0000,-59.0305,-67.8847,0,0
80.5000,20.0000,-58.3499,-67.8130,0,0
80.6000,20.0000,-57.6829,-67.7408,0,0
80.7000,20.0000,-57.0292,-67.6682,0,0
80.8000,20.0000,-56.3887,-67.5950,0,0
80.9000,20.0000,-55.7609,-67.5213,0,0
81.0000,20.0000,-55.1457,-67.4471,0,0
81.1000,20.0000,-54.5428,-67.3723,0,0
81.2000,20.0000,-53.9519,-67.2969,0,0
81.3000,20.0000,-53.3729,-67.2210,0,0
81.4000,20.0000,-52.8054,-67.1446,0,0
81.5000,20.0000,-52.2493,-67.0675,0,0
81.6000,20.0000,-51.7043,-66.9898,0,0
81.7000,20.0000,-51.1702,-66.9114,0,0
81.8000,20.0000,-50.6468,-66.8325,0,0
81.9000,20.0000,-50.1339,-66.7528,0,0
82.0000,20.0000,30.0000,-66.6725,1,0
82.1000,20.0000,-64.2000,-66.5915,0,0
82.2000,20.0000,-63.4160,-66.5098,0,0
82.3000,20.0000,-62.6477,-66.4273,0,0
82.4000,20.0000,-61.8947,-66.3441,0,0
82.5000,20.0000,-61.1568,-66.2601,0,0
82.6000,20.0000,-60.4337,-66.1753,0,0
82.7000,20.0000,-59.7250,-66.0897,0,0
82.8000,20.0000,-59.0305,-66.0032,0,0
82.9000,20.0000,-58.3499,-65.9159,0,0
83.0000,20.0000,-57.6829,-65.8277,0,0
83.1000,20.0000,-57.0292,-65.7385,0,0
83.2000,20.0000,-56.3887,-65.6484,0,0
83.3000,20.0000,-55.7609,-65.5573,0,0
83.4000,20.0000,-55.1457,-65.4652,0,0
83.5000,20.0000,-54.5428,-65.3721,0,0
83.6000,20.0000,-53.9519,-65.2778,0,0
83.7000,20.0000,-53.3729,-65.1825,0,0
83.8000,20.0000,-52.8054,-65.0860,0,0
83.9000,20.0000,-52.2493,-64.9884,0,0
84.0000,20.0000,-51.7043,-64.8895,0,0
84.1000,20.0000,-51.1702,-64.7893,0,0
84.2000,20.0000,-50.6468,-64.6878,0,0
84.3000,20.0000,-50.1339,-64.5849,0,0
84.4000,20.0000,30.0000,-64.4807,1,0
84.5000,20.0000,-64.2000,-64.3749,0,0
84.6000,20.0000,-63.4160,-64.2677,0,0
84.7000,20.0000,-62.6477,-64.1589,0,0
84.8000,20.0000,-61.8947,-64.0484,0,0
84.9000,20.0000,-61.1568,-63.9363,0,0
85.0000,20.0000,-60.4337,-63.8223,0,0
85.1000,20.0000,-59.7250,-63.7066,0,0
85.2000,20.0000,-59.0305,-63.5889,0,0
85.3000,20.0000,-58.3499,-63.4692,0,0
85.4000,20.0000,-57.6829,-63.3475,0,0
85.5000,20.0000,-57.0292,-63.2235,0,0
85.6000,20.0000,-56.3887,-63.0973,0,0
85.7000,20.0000,-55.7609,-62.9688,0,0
85.8000,20.0000,-55.1457,-62.8378,0,0
85.9000,20.0000,-54.5428,-62.7042,0,0
86.0000,20.0000,-53.9519,-62.5678,0,0
86.1000,20.0000,-53.3729,-62.4287,0,0
86.2000,20.0000,-52.8054,-62.2866,0,0
86.3000,20.0000,-52.2493,-62.1413,0,0
86.4000,20.0000,-51.7043,-61.9928,0,0
86.5000,20.0000,-51.1702,-61.8408,0,0
86.6000,20.0000,-50.6468,-61.6852,0,0
86.7000,20.0000,-50.1339,-61.5257,0,0
86.8000,20.0000,30.0000,-61.3622,1,0
86.9000,20.0000,-64.2000,-61.1944,0,0
87.0000,20.0000,-63.4160,-61.0221,0,0
87.1000,20.0000,-62.6477,-60.8450,0,0
87.2000,20.0000,-61.8947,-60.6629,0,0
87.3000,20.0000,-61.1568,-60.4753,0,0
87.4000,20.0000,-60.4337,-60.2821,0,0
87.5000,20.0000,-59.7250,-60.0827,0,0
87.6000,20.0000,-59.0305,-59.8769,0,0
87.7000,20.0000,-58.3499,-59.6641,0,0
87.8000,20.0000,-57.6829,-59.4438,0,0
87.9000,20.0000,-57.0292,-59.2157,0,0
88.0000,20.0000,-56.3887,-58.9790,0,0
88.1000,20.0000,-55.7609,-58.7331,0,0
88.2000,20.0000,-55.1457,-58.4773,0,0
88.3000,20.0000,-54.5428,-58.2109,0,0
88.4000,20.0000,-53.9519,-57.9329,0,0
88.5000,20.0000,-53.3729,-57.6424,0,0
88.6000,20.0000,-52.8054,-57.3383,0,0
88.7000,20.0000,-52.2493,-57.0194,0,0
88.8000,20.0000,-51.7043,-56.6843,0,0
88.9000,20.0000,-51.1702,-56.3314,0,0
89.0000,20.0000,-50.6468,-55.9590,0,0
89.1000,20.0000,-50.1339,-55.5652,0,0
89.2000,20.0000,30.0000,-55.1476,1,0
89.3000,20.0000,-64.2000,-54.7036,0,0
89.4000,20.0000,-63.4160,-54.2301,0,0
89.5000,20.0000,-62.6477,-53.7238,0,0
89.6000,20.0000,-61.8947,-53.1805,0,0
89.7000,20.0000,-61.1568,-52.5955,0,0
89.8000,20.0000,-60.4337,-51.9630,0,0
89.9000,20.0000,-59.7250,-51.2765,0,0
90.0000,20.0000,-59.0305,-50.5279,0,0
90.1000,20.0000,-58.3499,-49.7075,0,0
90.2000,20.0000,-57.6829,-48.8035,0,0
90.3000,20.0000,-57.0292,-47.8016,0,0
90.4000,20.0000,-56.3887,-46.6836,0,0
90.5000,20.0000,-55.7609,-45.4270,0,0
90.6000,20.0000,-55.1457,-44.0031,0,0
90.7000,20.0000,-54.5428,-42.3744,0,0
90.8000,20.0000,-53.9519,-40.4922,0,0
90.9000,20.0000,-53.3729,-38.2908,0,0
91.0000,20.0000,-52.8054,-35.6806,0,0
91.1000,20.0000,-52.2493,-32.5359,0,0
